organism,experimental_design,de_gene,log_fc,log_cpm,f,p_value,fdr,id,real_differential_expression
1276135,infect48hXinfect144h,MAN_04992,-1.57737879059356,6.08651695427467,10.4677871411166,0.001216031682921,0.006270124941411,,1
1276135,infect48hXinfect144h,MAN_03859,-1.57762568577965,7.11090242292782,17.5527264369473,2.80232695733967E-05,0.000224869650967,,1
1276135,infect48hXinfect144h,MAN_09323,-1.57834109637486,6.59305076937622,13.6089274589615,0.000225502260667,0.00142762107793,,1
1276135,infect48hXinfect144h,MAN_02405,-1.57877487960057,8.37354126101337,26.3206425764009,2.90945110953149E-07,3.45844893544425E-06,,1
1276135,infect48hXinfect144h,MAN_01377,-1.58469600195397,6.52497362454801,13.531336815645,0.00023501478371,0.001478664885293,,1
1276135,infect48hXinfect144h,MAN_04853,-1.58992652744186,7.04758244539254,17.3381123059143,3.13705282737485E-05,0.000249180699271,,1
1276135,infect48hXinfect144h,MAN_04400,-1.59079756650193,6.83914877769466,15.8583536467979,6.84222505007738E-05,0.000498456094898,,1
1276135,infect48hXinfect144h,MAN_00184,-1.59577950642697,5.91528279373215,9.7133105738886,0.001831074887748,0.008914144525127,,1
1276135,infect48hXinfect144h,MAN_01359,-1.6020896135021,6.03858252099745,10.5892732563347,0.001138691041095,0.005916204751978,,1
1276135,infect48hXinfect144h,MAN_10130,-1.60279861743628,6.31523958496658,12.274320604732,0.000459889316176,0.002671076956537,,1
1276135,infect48hXinfect144h,MAN_01096,-1.60399977489607,6.92533715596676,16.6409082788055,4.52806139345115E-05,0.000346189641318,,1
1276135,infect48hXinfect144h,MAN_08657,-1.60425836508336,6.70836016160984,15.0204154528399,0.000106576154181,0.00074044291314,,1
1276135,infect48hXinfect144h,MAN_08605,-1.61362969059477,7.79658166860484,23.4154961451136,1.31157974167941E-06,1.3790517304524E-05,,1
